fid;nama tempat;url tempat;alamat;nomor telepon;latitude;longitude;latilong;kategori gmaps;website;rating;review terbaru;status review;input direktori;modifikasi;kk;gid;bstt;luas;bsbtt;idsls;kdkab;kdkec;kdsls;nmkab;nmkec;nmsls;bstt_k;kddesa;kdprov;khusus;muatan;nmdesa;nmprov;posisi;segmen;subsls;sumber;dom_sls;periode;tingkat;idsubsls;nm_gedung;wil_campur
23036;Pito Cafe;https://www.google.com/maps/place/Pito+Cafe/@-1.247376,116.852769,17z/data=!4m6!3m5!1s0x2df1473125df7f87:0x7aac9215c5ce7a33!8m2!3d-1.247376!4d116.852769!16s%2Fg%2F11t0rzg_tw?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;QV33+24R, Jl. Sungai Ampal, Damai, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur;0813-5277-7361;-1,247376;116,852769;-1.247376,116.852769;Kedai Kopi;Website tidak ditemukan;3,9;seminggu lalu;Ulasan terbaru berlabel 'NEW';kafedi kota balikpapan;28/05/2023;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23037;Saia Kopi Balikpapan;https://www.google.com/maps/place/Saia+Kopi+Balikpapan/@-1.2468621,116.855188,17z/data=!4m6!3m5!1s0x2df147b215bf00df:0xa7d405134e46bc88!8m2!3d-1.2468621!4d116.855188!16s%2Fg%2F11fkgyl2zz?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Jl. Sungai Ampal-Sumber Rejo No.197, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76114;0819-4324-5612;-1,2468621;116,855188;-1.2468621,116.855188;Kafe;Website tidak ditemukan;4,4;5 tahun lalu;Ulasan terbaru tanpa label 'NEW';kafedi kota balikpapan;28/05/2023;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23038;RENTAL MATERIAL SCAFFOLDING - PT RANIZ INTI KONSTRUKSI;https://www.google.com/maps/place/RENTAL+MATERIAL+SCAFFOLDING+-+PT+RANIZ+INTI+KONSTRUKSI/@-1.2491613,116.8526046,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14788500d69bb:0x286a311c588a9288!8m2!3d-1.2491613!4d116.8526046!16s%2Fg%2F11vljqtz5d?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Perumahan Pesona Khatulistiwa, Jl. Mayor TNI A.D. Imat Saili No.12A Blok C2, RT.056, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2491613;116,8526046;-1.2491613,116.8526046;Kantor Perusahaan;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;kontraktor penggaliandi kota balikpapan;28/05/2023;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23039;Mapspriority Lion Parcel;https://www.google.com/maps/place/PRIORITY+LION+PARCEL/@-1.24702,116.8535201,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1476abb859819:0x7685e9c938af6b6b!8m2!3d-1.24702!4d116.8535201!16s%2Fg%2F11kf5rwvhr?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D;Jl. Mayor TNI AD Imat Saili (SUNGAI AMPAL) No.120 RT.57 Kel, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76124;0811-5496-979;-1,24702;116,8535201;-1.24702,116.8535201;Kargo;Website tidak ditemukan;5,0;;Ulasan terbaru tanpa label 'NEW';kargo di Balikpapan Utara;19/06/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23040;Jose Vet Clinic;https://www.google.com/maps/place/Jose+Vet+Clinic/@-1.2469206,116.8549843,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147283efea529:0x699c732c030ab13!8m2!3d-1.2469206!4d116.8549843!16s%2Fg%2F11f7dt0bj2?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;JLn Mayor Tni AD Ismail Saili, Jl. Sungai Ampal, RT.57/RW.No 9, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76114;0821-5487-7993;-1,2469206;116,8549843;-1.2469206,116.8549843;Dokter Hewan;Website tidak ditemukan;4,5;5 bulan lalu;Ulasan terbaru tanpa label 'NEW';peternak anjingdi kota balikpapan;17/06/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23041;Rebel Tattoo Studio;https://www.google.com/maps/place/Rebel+Tattoo+Studio/@-1.2469492,116.8541767,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1471e65feb139:0x71024a45ac50a9d4!8m2!3d-1.2469492!4d116.8541767!16s%2Fg%2F11g089_fmf?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D;Jl. Sungai Ampal No.54 Rt 57, Sumberejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76113;0821-5549-3882;-1,2469492;116,8541767;-1.2469492,116.8541767;Toko Tato;Website tidak ditemukan;4,3;setahun lalu;Ulasan terbaru tanpa label 'NEW';iLoveMerge1Juni2026;28/05/2023;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23042;PEMANCINGAN SIDO JAYA;https://www.google.com/maps/place/PEMANCINGAN+SIDO+JAYA/@-1.2475563,116.8536828,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147482abc8389:0x7e5db53c6dd3fcc2!8m2!3d-1.2475563!4d116.8536828!16s%2Fg%2F11tj3mtt5b?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D;Jl. Sungai Ampal gg kenari, RT.57/RW.NO 124, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur;0823-5248-8747;-1,2475563;116,8536828;-1.2475563,116.8536828;ï¿1⁄2;Website tidak ditemukan;4,8;2 tahun lalu;Ulasan terbaru tanpa label 'NEW';iLoveMerge1Juni2026;28/05/2023;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23043;Arkana transport rent & car;https://www.google.com/maps/place/Arkana+transport+rent+%26+car/@-1.2469891,116.854309,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14789263a6555:0xbbe59baa26c16c0b!8m2!3d-1.2469891!4d116.854309!16s%2Fg%2F11fwhj9snj?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D;Jl. Sungai Ampal, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76124;0852-5085-7581;-1,2469891;116,854309;-1.2469891,116.854309;Layanan Transportasi;Website tidak ditemukan;5,0;2 tahun lalu;Ulasan terbaru tanpa label 'NEW';iLoveMerge;28/05/2023;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23044;RE_storehome;https://www.google.com/maps/place/RE_storehome/@-1.2477052,116.8535253,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14700004022a7:0xfab934473b776a8f!8m2!3d-1.2477052!4d116.8535253!16s%2Fg%2F11wv4j1fv3?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D;QV23+WC6, Jl. Sungai Ampal, Damai, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur;Nomor telepon tidak ditemukan;-1,2477052;116,8535253;-1.2477052,116.8535253;Jasa Konstruksi dan Bangunan;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;iLoveMerge;28/05/2023;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23045;Pasgar Arena;https://www.google.com/maps/place/Pasgar+Arena/@-1.2474223,116.8526709,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14766caee39b1:0x15acaae9001dcd5b!8m2!3d-1.2474223!4d116.8526709!16s%2Fg%2F11kk1tdh6w?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D;Jl. Sungai Ampal No.90-100, Damai, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2474223;116,8526709;-1.2474223,116.8526709;Klub Olahraga;Website tidak ditemukan;4,7;setahun lalu;Ulasan terbaru tanpa label 'NEW';iLoveMerge;10/07/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23046;Mapsbu Tinah Pijat Urut;https://www.google.com/maps/place/Bu+tinah+pijat+urut/@-1.2474414,116.8540503,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147006046d047:0xeb4b137a73b73b0f!8m2!3d-1.2474414!4d116.8540503!16s%2Fg%2F11lcz5nqyw?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYwOS4wIKXMDSoASAFQAw%3D%3D;Jl. Mayor TNI A.D. Imat Saili No.36, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2474414;116,8540503;-1.2474414,116.8540503;Terapis Fisik;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;terapis fisikdi balikpapan utara;28/05/2023;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23047;Teras Jajanan;https://www.google.com/maps/place/Teras+Jajanan/@-1.2471108,116.8533352,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1465059949b61:0xc3c249bc11930033!8m2!3d-1.2471108!4d116.8533352!16s%2Fg%2F11clsvbgk2?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxMS4wIKXMDSoASAFQAw%3D%3D;Jl. Sungai Ampal-Sumber Rejo No.32, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76124;(0542) 8511967;-1,2471108;116,8533352;-1.2471108,116.8533352;Pujasera;facebook.com;4,4;6 tahun lalu;Ulasan terbaru tanpa label 'NEW';pujasera di balikpapan utara;17/06/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23048;MDSpart;https://www.google.com/maps/place/MDSpart/@-1.2469514,116.8544806,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147ce22d62051:0xe18ab09f68c378ac!8m2!3d-1.2469514!4d116.8544806!16s%2Fg%2F11nmrfnw2g?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxMS4wIKXMDSoASAFQAw%3D%3D;Jl. Mayor TNI A.D. Imat Saili, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76114;0852-5267-4474;-1,2469514;116,8544806;-1.2469514,116.8544806;Toko Suku Cadang Motor;Website tidak ditemukan;4,8;2 tahun lalu;Ulasan terbaru tanpa label 'NEW';toko sepeda motor di balikpapan utara;17/06/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23049;Seblak Prasmanan Tilu Rebu;https://www.google.com/maps/place/Seblak+Prasmanan+Tilu+Rebu/@-1.246935,116.8540619,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147550e059c6d:0xdaeeef2e51615bf8!8m2!3d-1.246935!4d116.8540619!16s%2Fg%2F11vj3kjtxf?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxMS4wIKXMDSoASAFQAw%3D%3D;Jl. Sungai Ampal No.34, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76124;0819-3258-4311;-1,246935;116,8540619;-1.246935,116.8540619;Kedai Sarapan & Makan Siang;Website tidak ditemukan;1,0;setahun lalu;Ulasan terbaru tanpa label 'NEW';restoran prasmanan di balikpapan utara;17/06/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23050;TJM MOTOR SPORT;https://www.google.com/maps/place/TJM+MOTOR+SPORT/@-1.2468716,116.8551641,17z/data=!4m6!3m5!1s0x2df1472cc647356f:0x8363c9433ad0e1d5!8m2!3d-1.2468716!4d116.8551641!16s%2Fg%2F11k57m6s81?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNS4wIKXMDSoASAFQAw%3D%3D;Jl. Mayor TNI A.D. Imat Saili No.2 Rt.57, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76123;0811-5497-737;-1,2468716;116,8551641;-1.2468716,116.8551641;Bengkel Sepeda Motor;shopee.co.id;4,0;setahun lalu;Ulasan terbaru tanpa label 'NEW';layanan penggantian oli di balikpapan utara;19/06/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23051;TOKO KEMASAN PLASTIK;https://www.google.com/maps/place/TOKO+KEMASAN+PLASTIK/@-1.2471324,116.8533695,17z/data=!4m6!3m5!1s0x2df14650f99673ab:0x31904a419ea5c910!8m2!3d-1.2471324!4d116.8533695!16s%2Fg%2F11vb5qbqbx?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D;Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur;Nomor telepon tidak ditemukan;-1,2471324;116,8533695;-1.2471324,116.8533695;Kategori tidak ditemukan;Website tidak ditemukan;5,0;sebulan lalu;Ulasan terbaru tanpa label 'NEW';pemasok produk plastik di balikpapan utara;23/06/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23052;SAWA SUNGAI AMPAL;https://www.google.com/maps/place/SAWA+SUNGAI+AMPAL/@-1.2473066,116.8531942,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147c931d63a63:0xa64ea03317772630!8m2!3d-1.2473066!4d116.8531942!16s%2Fg%2F11r7gqt_95?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D;QV23+XVJ, Jl. Sungai Ampal, RT.57/RW.no kelurahan, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76114;0822-8605-6421;-1,2473066;116,8531942;-1.2473066,116.8531942;Kedai Kopi;Website tidak ditemukan;4,4;;Ulasan terbaru tanpa label 'NEW';cafe di balikpapan tengah;25/06/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23053;Depo Diamond;https://www.google.com/maps/place/Depo+Diamond/@-1.2478093,116.8549528,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14702fb4aab99:0x219390f9a0db1295!8m2!3d-1.2478093!4d116.8549528!16s%2Fg%2F11vjm0tz6v?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D;Jl. Sungai Ampal, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76124;0858-2033-9961;-1,2478093;116,8549528;-1.2478093,116.8549528;Pemasok Air Minum Dalam Kemasan;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;air minum di balikpapan utara;09/07/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23054;515 bengkel jenset;https://www.google.com/maps/place/515+bengkel+jenset/@-1.2472552,116.8530904,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14650fc12ae29:0xe7d234b3a01d494c!8m2!3d-1.2472552!4d116.8530904!16s%2Fg%2F11bvt43d30?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D;Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76114;0813-5087-8581;-1,2472552;116,8530904;-1.2472552,116.8530904;Bengkel Mesin;Website tidak ditemukan;4,0;5 tahun lalu;Ulasan terbaru tanpa label 'NEW';bengkel mesin di balikpapan utara;09/07/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23055;Bengkel KARUNIA JAYA MOTOR;https://www.google.com/maps/place/Bengkel+KARUNIA+JAYA+MOTOR/@-1.2475249,116.8524705,17z/data=!3m1!4b1!4m6!3m5!1s0x2df146511cbf4ce7:0x7bb9049def5d9dc7!8m2!3d-1.2475249!4d116.8524705!16s%2Fg%2F11df0q2tsr?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D;kelurahan Jl. Mayor TNI A.D. Imat Saili No.76124, RT.56/RW.no.06, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2475249;116,8524705;-1.2475249,116.8524705;Bengkel Motor Skuter;Website tidak ditemukan;4,3;Diedit 5 bulan lalu;Ulasan terbaru tanpa label 'NEW';bengkel skuter di balikpapan utara;09/07/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23056;Toko ATK Reynaldi & Service Komputer;https://www.google.com/maps/place/Toko+ATK+Reynaldi+%26+Service+Komputer/@-1.2469244,116.8543259,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1471c46b4730f:0x3e4b5608c0c8d0c!8m2!3d-1.2469244!4d116.8543259!16s%2Fg%2F11shnrs8f1?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D;Jl. Sungai Ampal, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76124;0823-5861-2726;-1,2469244;116,8543259;-1.2469244,116.8543259;Toko Alat Tulis;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;grosir alat tulis di balikpapan utara;09/07/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23057;Toko Az-Zahra;https://www.google.com/maps/place/Toko+Az-Zahra/@-1.2475464,116.8523693,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1476c53f2af57:0xaa71b272692635f1!8m2!3d-1.2475464!4d116.8523693!16s%2Fg%2F11gx_dglt8?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D;QV22+XWQ, Jl. Mayor TNI A.D. Imat Saili, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2475464;116,8523693;-1.2475464,116.8523693;Toko Swalayan;Website tidak ditemukan;5,0;6 tahun lalu;Ulasan terbaru tanpa label 'NEW';grosir buku di balikpapan utara;09/07/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23058;Barokah Mulia Teknik;https://www.google.com/maps/place/Barokah+Mulia+Teknik/@-1.2477377,116.8541573,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14767d0fd09d1:0x6db2fb3a3ecfe873!8m2!3d-1.2477377!4d116.8541573!16s%2Fg%2F11x7t0p12g?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D;Jl. Sungai Ampal, RT.57/RW.No 64, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76124;0823-1144-4355;-1,2477377;116,8541573;-1.2477377,116.8541573;Jasa perbaikan mesin;instagram.com;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;boiler repair di balikpapan utara;10/07/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23059;Bengkel arifinjhon abal abal;https://www.google.com/maps/place/Bengkel+arifinjhon+abal+abal/@-1.2475524,116.8546815,17z/data=!4m6!3m5!1s0x2df147e92f17b563:0xfdb13b43804959bd!8m2!3d-1.2475524!4d116.8546815!16s%2Fg%2F11vhtgbr0k?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDcwNi4wIKXMDSoASAFQAw%3D%3D;QV23+XVJ, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76114;0813-5007-5199;-1,2475524;116,8546815;-1.2475524,116.8546815;Bengkel Sepeda Motor;Website tidak ditemukan;5,0;setahun lalu;Ulasan terbaru tanpa label 'NEW';bengkel sepeda di balikpapan barat;10/07/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23060;Pito Pasa;https://www.google.com/maps/place/Pito+Pasa/@-1.2474535,116.8528605,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1473587fc7bcb:0xf243b991fd7da0e!8m2!3d-1.2474535!4d116.8528605!16s%2Fg%2F11pyznmp3x?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDcwNi4wIKXMDSoASAFQAw%3D%3D;QV33+24C, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2474535;116,8528605;-1.2474535,116.8528605;Toko;tokopedia.com;4,6;seminggu lalu;Ulasan terbaru berlabel 'NEW';dealer sepeda motor di balikpapan barat;10/07/2025;;213512;;0,110535938;;6,47104E+13;71;040;0057;BALIKPAPAN;BALIKPAPAN TENGAH;RT 057;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23061;Warung Nasi Campur Puncak Binaraga;https://www.google.com/maps/place/Warung+Nasi+Campur+Puncak+Binaraga/@-1.2471963,116.846787,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1475f06f9f62b:0x227ccb4475ea0926!8m2!3d-1.2471963!4d116.846787!16s%2Fg%2F11ghtkbn16?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;QR3W+4PF, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur;Nomor telepon tidak ditemukan;-1,2471963;116,846787;-1.2471963,116.846787;Warung nasi;Website tidak ditemukan;4,8;;Ulasan terbaru tanpa label 'NEW';warung di Balikpapan Tengah;28/05/2023;;213513;;0,046064858;;6,47104E+13;71;040;0047;BALIKPAPAN;BALIKPAPAN TENGAH;RT 047;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23062;YOVA Mart;https://www.google.com/maps/place/YOVA+Mart/@-1.2482241,116.847144,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147af0d2e145f:0xd5f0d0f5aa06eb73!8m2!3d-1.2482241!4d116.847144!16s%2Fg%2F11f60vxd5s?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D;QR2W+PV6, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76113;Nomor telepon tidak ditemukan;-1,2482241;116,847144;-1.2482241,116.847144;Toko bahan makanan;Website tidak ditemukan;4,6;sebulan lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;213513;;0,046064858;;6,47104E+13;71;040;0047;BALIKPAPAN;BALIKPAPAN TENGAH;RT 047;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23063;Bengkel Ketok Magic Budi Lestari;https://www.google.com/maps/place/Bengkel+Ketok+Magic+Budi+Lestari/@-1.2485576,116.8472971,17z/data=!4m6!3m5!1s0x2df1465384cc5b2b:0x5c1478cb7bbca06!8m2!3d-1.2485576!4d116.8472971!16s%2Fg%2F1hm6dgz5j?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D;QR2W+HWF, Jl. D.I Panjaitan, RT.47, Sumber Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76122;0823-2000-7060;-1,2485576;116,8472971;-1.2485576,116.8472971;Bengkel Mobil;Website tidak ditemukan;4,8;2 bulan lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;213513;;0,046064858;;6,47104E+13;71;040;0047;BALIKPAPAN;BALIKPAPAN TENGAH;RT 047;;005;64;;;SUMBER REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
